0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
854.3251,435.78223,863.54004,421.09277,855.56384,422.08667,899.33777,423.20813,886.40125,427.9563,923.00195,486.08856,890.9645,493.7644,906.2438,364.75354,905.32776,366.3482,894.82837,264.5548,890.47705,274.02155,909.9591,697.6057,882.6477,695.65454,926.11365,871.2246,909.1703,866.7367,944.2477,1023.4646,946.3512,1001.4553
855.41187,436.74854,864.8058,422.6161,856.62195,423.34344,900.69556,424.44305,885.4348,428.58887,923.7352,485.80762,890.0831,493.71362,907.5459,366.03857,904.57446,365.82867,896.61365,265.896,892.56323,271.00134,909.4436,697.2102,881.4983,695.37634,925.81494,870.60596,907.8589,866.4927,944.1083,1022.66064,946.4791,1000.25024
854.659,433.1501,864.35736,418.64105,856.983,419.58136,900.75104,422.78265,889.1265,428.0063,924.25616,486.9638,889.85443,495.2458,907.2524,366.43793,903.653,369.8769,898.9827,269.68896,896.5953,278.7674,910.2734,699.55646,880.5018,697.47626,925.10065,873.0927,905.7099,868.83844,944.2349,1020.38763,946.4797,999.8776
856.2609,429.95477,866.5153,416.9049,857.3083,417.65582,901.63763,423.19983,881.4544,427.53674,924.26385,484.20483,889.7952,491.59583,908.4388,366.19946,905.8038,368.25244,898.5229,268.00305,897.517,278.9563,909.4432,694.98584,878.7673,692.12964,922.20123,870.6655,903.7651,865.595,943.9683,1019.6461,946.9285,990.9204
854.44666,428.64355,863.1317,414.37726,856.187,415.6419,897.99255,418.2602,886.92725,421.7251,922.4435,481.9403,889.9531,489.55078,909.4691,369.6194,906.30786,371.0827,900.74,267.10565,899.77563,281.03186,906.8002,696.34985,880.5504,693.334,921.59973,867.8076,906.9878,862.5554,942.22485,1016.2648,941.1094,997.72437
854.8334,427.36707,865.9791,413.78882,856.2208,415.74957,901.7787,421.1526,881.38574,426.0382,921.71155,481.6654,887.7649,491.53162,908.6073,369.52112,905.4171,371.4486,902.9999,270.3471,900.89294,275.6529,906.2759,694.5758,877.6692,693.0941,918.1283,869.4397,900.7981,865.2871,942.4009,1017.29114,943.2937,996.3605
854.6375,424.90955,863.23285,410.98523,857.091,412.15942,896.4986,416.36383,885.5234,420.7998,921.134,478.505,887.9688,487.66205,907.87177,361.96344,905.19574,362.01984,902.40533,249.43939,902.30084,268.08197,905.35736,693.5172,879.8161,690.5812,916.471,864.49915,901.4797,859.63245,942.2299,1014.29626,937.4555,998.09924
854.2541,417.2949,865.35175,403.99106,856.2675,405.4606,901.05316,412.51065,882.1318,416.5115,918.42596,475.98898,887.8543,484.76352,907.7535,356.6979,893.7967,589.12964,902.7663,245.423,902.6351,245.90878,903.2463,691.31445,881.01056,689.17664,914.3149,861.3124,901.9494,856.92957,941.2861,1011.10925,936.2126,996.1461
856.6144,408.64075,867.5851,396.38464,859.094,397.60785,899.91003,407.37732,883.0137,411.65082,917.2644,466.5345,889.9033,475.66376,903.6748,354.04083,899.08606,352.6147,901.72595,254.48651,899.7118,260.99475,902.95874,684.84674,880.34143,682.8597,911.55334,857.83673,904.35144,855.2664,938.9905,1013.50665,939.68115,996.63617
858.2766,401.14587,868.66125,388.71216,858.3253,390.89136,901.21375,399.59058,877.0648,407.2207,917.78894,459.20398,885.5663,470.0371,900.9315,341.6527,894.82166,341.24054,898.7777,246.02484,893.69836,261.3888,905.55396,676.85583,881.27673,675.41907,907.53955,848.89734,900.6444,847.40076,933.9945,1008.25696,935.5249,991.437
