0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
402.0622,848.0351,1.0038987,402.02332,836.08856,1.0155406,396.82556,840.47125,0.9400351,425.8094,817.6962,0.96494216,425.37665,817.6695,0.7022916,458.30475,854.1121,0.95055723,459.7588,850.53217,0.7951996,395.26,917.134,0.916535,395.6784,928.2226,0.70886135,323.5346,968.0451,0.89834654,329.0111,967.37274,0.7132842,540.5768,998.2779,0.8279182,520.32526,998.5384,0.8062186,513.15393,1114.8037,0.9440876,497.03107,1101.7937,0.9123982,510.9953,1237.1848,0.8732585,494.0406,1205.3936,0.93632853
393.62756,866.6042,0.96943724,392.60052,854.2835,0.9960796,386.8803,859.23615,0.94882345,414.38776,832.64105,0.9345367,413.32263,832.47406,0.67851126,451.859,867.11505,0.9304818,451.79187,865.7492,0.7505392,407.88104,945.1855,0.88887656,407.74255,948.5241,0.60839605,350.93585,1014.118,0.8899323,358.0384,1009.5245,0.6603281,548.9743,1003.2702,0.81251895,527.7547,1003.2076,0.7924384,512.4732,1115.7002,0.91444457,497.20453,1103.5969,0.92020106,510.4494,1238.0569,0.9401961,490.6042,1205.6877,0.9688257
385.90802,888.7755,0.9553191,382.39276,876.6675,0.99370766,378.3228,881.4147,0.94654894,399.73767,854.33057,0.8740586,406.5562,850.48303,0.66004306,444.00604,884.26855,0.8913121,448.32648,878.61975,0.8086822,421.84937,970.9553,0.8739265,426.20563,970.04895,0.4752558,388.7077,1050.0358,0.9221549,398.83154,1036.7365,0.28258845,553.30975,1007.0853,0.80786395,530.75543,1005.4889,0.785614,510.32117,1115.1681,0.94244146,499.18707,1100.4624,0.93946505,510.69305,1238.6184,0.9068843,493.94037,1205.1025,0.93165344
375.14606,912.21216,0.9308615,371.9701,900.09534,0.9286599,367.25275,905.2445,0.9243649,387.4803,877.2628,0.85448116,393.6739,870.9713,0.7043625,437.2556,909.46277,0.8339405,439.51953,888.80896,0.8018908,444.27863,996.7462,0.89189714,479.65088,897.49036,0.3030976,432.3791,1083.2247,0.8964788,479.4463,898.40015,0.31581137,558.06696,1007.46643,0.7882588,537.6426,1005.25085,0.6929748,508.55865,1115.3702,0.94423723,498.8944,1099.8756,0.9590493,509.97278,1238.9535,0.9206184,494.99036,1207.3068,0.90008694
360.90668,938.48157,0.9368672,360.80963,926.45166,0.9521698,354.34088,930.95593,0.8620895,380.0766,906.0714,0.92818916,379.29938,903.7422,0.65466845,433.34753,927.7722,0.8713321,427.41547,916.2671,0.7746732,468.18695,1009.90027,0.93880117,468.38763,1003.37854,0.37079754,485.66895,1091.9102,0.9196824,487.58008,1082.9788,0.32857448,561.93445,1013.9668,0.82623446,544.8521,1010.97,0.6780396,508.23016,1120.7058,0.89734626,497.1667,1111.0079,0.9206948,509.93,1239.7927,0.90307844,491.90826,1209.0369,0.9822773
357.84363,968.6428,0.93711567,352.29437,956.6958,0.8803445,347.46106,960.6361,0.8245393,370.2625,936.75024,0.8448472,373.83545,928.68884,0.661603,428.63336,950.56824,0.7917529,421.68787,939.34375,0.7158862,486.87073,1017.5979,0.9109534,489.59338,1009.93555,0.32020825,544.9269,1099.6407,0.82641864,539.41266,1086.3622,0.112889916,567.01154,1018.2671,0.7469915,544.8659,1012.6936,0.58396614,502.27423,1114.8884,0.951573,491.16022,1097.6141,0.867967,509.20215,1241.3853,0.89110506,492.94983,1208.8623,0.91188663
356.32965,1002.7727,0.94344306,352.3994,991.69214,0.8913578,348.62738,995.9718,0.80091465,363.14362,971.5244,0.8128461,363.36096,958.3721,0.6213058,427.62885,980.89795,0.8164258,406.1198,965.2352,0.6136416,508.3235,1024.1412,0.87735754,490.7669,972.06226,0.15292376,581.5826,1074.7256,0.8753586,575.7637,1072.5029,0.15194905,572.1175,1019.46216,0.7656534,546.59424,1010.156,0.5806509,499.51288,1115.1504,0.9187969,485.86664,1097.7013,0.9915832,509.48706,1240.4178,0.904492,492.22748,1209.1139,0.95443076
359.83585,1036.5394,0.7279371,359.80893,1026.6094,0.6826326,359.80295,1031.5663,0.4976743,363.31485,1001.954,0.63178664,363.34482,992.5198,0.5409359,432.2772,1006.6742,0.6813154,408.74948,993.37915,0.73873615,520.9335,1023.6787,0.91930544,475.60007,975.56396,0.732604,612.33716,1045.2864,0.81639856,580.4657,1004.8541,0.68340075,569.3165,1020.78186,0.56770897,550.48267,1011.2765,0.45137635,494.33206,1117.0289,0.955354,482.68173,1099.6073,0.9080235,508.94327,1240.0544,0.8993641,491.61893,1209.3357,0.90449804
362.76004,1076.1487,0.9420139,354.53806,1067.3741,0.978691,354.11966,1071.585,0.9039916,362.79446,1041.0255,0.90638727,362.2347,1028.6268,0.61633426,431.59256,1033.024,0.8139868,408.58554,1021.6422,0.6958661,519.27454,1024.9061,0.9793604,487.49588,996.55444,0.7004888,611.04346,1016.1211,0.88923573,572.3058,988.7103,0.8504766,561.13904,1034.0394,0.6951545,532.506,1026.7926,0.544688,490.08713,1120.9762,0.9347298,478.25455,1098.3042,0.94835395,509.2905,1241.1173,0.8978228,490.6307,1208.7842,0.9179453
371.63068,1089.1023,0.9467398,364.81122,1081.207,0.95393825,362.22528,1087.4117,0.9041523,369.95056,1058.9059,0.87684906,364.79755,1050.2047,0.5533729,440.57904,1056.3152,0.7764388,406.48413,1037.1473,0.6832862,523.7461,1021.7938,0.91812134,495.94214,1002.6261,0.8243444,605.0799,993.75024,0.9400382,567.2896,975.8584,0.91817856,573.79425,1047.364,0.785975,551.6048,1033.5573,0.5704795,487.56354,1123.0103,0.97505295,474.32758,1103.437,0.85919803,508.0172,1238.8037,0.9094333,488.46783,1207.3649,0.95125234
